"Index","Term","DF","SS","MS","F","p"
"CSCI","Flow status",1,0.227,0.2275,9.7,0.002
"CSCI","Region",1,0.218,0.2178,9.3,0.003
"CSCI","Flow status:Region",1,0.068,0.0685,2.9,0.088
"CSCI","Residuals",254,5.933,0.0234,,
"ASCI_D","Flow status",1,0.016,0.0155,1,0.314
"ASCI_D","Region",1,0.118,0.1181,7.8,0.006
"ASCI_D","Flow status:Region",1,0.001,0.0014,0.1,0.761
"ASCI_D","Residuals",160,2.436,0.0152,,
"ASCI_H","Flow status",1,0.019,0.0193,1.3,0.248
"ASCI_H","Region",1,0.031,0.0306,2.1,0.146
"ASCI_H","Flow status:Region",1,0.003,0.0033,0.2,0.633
"ASCI_H","Residuals",159,2.278,0.0143,,
