"Threshold type","Population","Index","StandardUsageSupported","n_sites","High","Intermediate","Low"
"Reference","Wadeable (standard)","ASCI_D","Yes",418,0.95,0.86,0.75
"Reference","Wadeable (standard)","ASCI_H","Yes",418,0.95,0.86,0.75
"Reference","Wadeable (standard)","CSCI","Yes",473,0.92,0.79,0.63
"Reference","RFI-N","ASCI_D","Yes",32,0.972539095552065,0.892346746981666,0.781688947006206
"Reference","RFI-N","ASCI_H","Yes",32,0.942184283777687,0.869296732485941,0.76871885672436
"Reference","RFI-N","CSCI","No",79,0.69842114222789,0.564620438649583,0.37998821678435
"Reference","RFI-S","ASCI_D","Yes",45,0.912279134414655,0.804966857431054,0.656886140341972
"Reference","RFI-S","ASCI_H","Yes",45,0.913031908304153,0.802916791408864,0.650968422307586
"Reference","RFI-S","CSCI","Yes",53,0.891383240908567,0.815450783593225,0.710671227650055
"Best observed","CVF","ASCI_D","Yes",89,1.13023421742964,1.01708763633633,0.915606606933237
"Best observed","CVF","ASCI_H","Yes",86,1.04896082585288,0.941511959199834,0.799859967662808
"Best observed","CVF","CSCI","No",301,0.8452369,0.67178382,0.516696026666667
"Best observed","SB0","ASCI_D","No",51,1.0083725744359,0.769971818910998,0.684187228290971
"Best observed","SB0","ASCI_H","No",51,0.942733495892095,0.789372600935878,0.63927561351799
"Best observed","SB0","CSCI","Yes",78,0.99139627,0.7816985365,0.656270028880952
"Best observed","SB0_CVF","ASCI_D","ND",3,0.83879663277512,0.82615534043273,0.798063579671864
"Best observed","SB0_CVF","ASCI_H","ND",3,0.736963449184016,0.732667683496656,0.723121537524745
"Best observed","SB0_CVF","CSCI","ND",4,0.5057622592,0.467912752,0.383802736
"Best observed","SB1","ASCI_D","Yes",36,1.00673879595767,0.846385386074941,0.683683149997438
"Best observed","SB1","ASCI_H","Yes",36,0.971590184833354,0.863232209864804,0.66877233639127
"Best observed","SB1","CSCI","Yes",52,1.0950556176,0.9977331734,0.813631497
"Best observed","SB2","ASCI_D","No",57,0.933889057352686,0.765333361094197,0.644138406674926
"Best observed","SB2","ASCI_H","No",57,0.884087669609969,0.756493437242897,0.604387088929466
"Best observed","SB2","CSCI","Yes",67,0.956508948,0.752566644,0.63608953
"Best observed","HB","ASCI_D","Yes",152,1.05167351380486,0.878799703817763,0.736594086858424
"Best observed","HB","ASCI_H","Yes",152,1.01679892933283,0.865466855179816,0.736403168645361
"Best observed","HB","CSCI","No",203,0.7374254324,0.668358924,0.552162632
"Best observed","HB_CVF","ASCI_D","ND",8,1.05443074369498,1.02900752196577,0.959281602115027
"Best observed","HB_CVF","ASCI_H","ND",8,0.949531480107458,0.927802068085167,0.800255930809769
"Best observed","HB_CVF","CSCI","ND",10,0.5661258144,0.487547844,0.394388282
"Best observed","CC","CSCI","No",65,0.532009338864902,0.446246353453962,0.3670014242807
"Best observed","CC_CVF","CSCI","ND",65,0.532009338864902,0.446246353453962,0.3670014242807
