"StudyArea","Index",">=30th",">=10th",">=1st","<1st"
"Central Valley","ASCI_D",24,10,18,37
"Central Valley","ASCI_H",12,10,11,53
"Central Valley","CSCI",3,7,47,244
"Modoc","ASCI_D",45,15,8,4
"Modoc","ASCI_H",38,13,14,7
"Modoc","CSCI",64,19,16,25
