"Level","n","ASCI_D","ASCI_H","CSCI"
"All sites",17,0.900119653693498,0.849784541037395,0.766469456229947
"CH",7,1.09305473729559,1.08072845689622,0.89344198
"CV",10,0.835807959159468,0.77280323575112,0.677588689590909
"CV-IBI",14,0.853550431580792,0.760597737223408,0.750702028928571
"CSCI",2,0.946688875806204,0.938971344851383,0.941767885
"USGS",1,NA,NA,0.636616580909091
