masterid,stationcode,latitude,longitude
106CE0521,106CE0521,41.04583,-123.53888
106CE0577,106CE0577,40.59777,-122.90361
106CE0713,106CE0713,40.75027,-122.91777
106FC0022,106FC0022,40.6373,-122.7461
106FC1183,106FC1183,40.63704,-122.7465
106FC1313,106FC1313,40.87032,-122.80039
106FCA008,106FCA008,40.62833,-123.37666
106FCA036,106FCA036,40.80167,-122.92944
106FS0040,106FS0040,40.16904,-123.02523
106FS0040,R5BIO-040,40.16904,-123.02523
106HLCACC,106HLCACC,41.01605,-123.59623
106MJE008,106MJE008,40.39161,-123.27622
106MNCAHC,106MNCAHC,40.638,-123.321
106NC0023,106NC0023,41.29876087,-122.573521
106NC0678,106NC0678,41.0465,-123.5777
106NC0710,106NC0710,40.70977,-123.68112
106NC0938,106NC0938,40.9822,-122.7217
106PS0022,106PS0022,40.67269,-123.52279
106PS0051,106PS0051,41.24781,-122.64249
106PS0078,106PS0078,40.55161,-123.13495
106PS0106,106PS0106,40.81234,-123.11985
106PS0115,106PS0115,41.17285,-122.86988
106PS0122,106PS0122,41.11227,-122.86482
106PS0124,106PS0124,40.1704,-123.02884
106PS0142,106PS0142,40.45844,-123.16716
106PS0166,106PS0166,41.04441,-123.61115
106PS0173,106PS0173,40.37818,-123.29889
106PS0186,106PS0186,40.3062,-123.1213
106PS0206,106PS0206,40.5401,-122.9348
106PS0270,106PS0270,40.42829664,-123.0549572
106PS0279,106PS0279,41.33437354,-122.5272076
106PS0307,106PS0307,41.23602787,-122.6654028
106PS0334,106PS0334,40.62900838,-123.1654108
106PTCAHC,106PTCAHC,40.49615,-123.03502
106SPIPP1,106SPIPP1,40.791005,-122.687961
106WE0505,106WE0505,40.86244,-122.90169
106WE0574,106WE0574,41.0483,-122.6553
106WE0580,106WE0580,40.7789,-123.33513
106WE0581,106WE0581,40.25425,-123.1078
106WE0587,106WE0587,40.62725,-123.3729
106WE0593,106WE0593,40.84723,-123.39963
106WE0768,106WE0768,40.62567,-122.95602
106WE0812,106WE0812,40.68862,-122.93228
106WE0824,106WE0824,41.19708,-122.52973
106WE0831,106WE0831,40.6977,-123.36434
106WE0843,106WE0843,40.44593,-122.94635
106WE1055,106WE1055,40.90353,-123.01368
106WE1062,106WE1062,40.60279,-122.91109
106WE1066,106WE1066,41.15445,-123.56903
106WE1079,106WE1079,41.13251,-122.80644
106WE1080,106WE1080,40.45212,-123.41928
