masterid,latitude,longitude,huc,county,psa_lu,comid,psa6c,regionalboardnumber,area_sqkm,new_lat,new_long,site_elev,elev_range,ppt_00_09,maxwd_ws,meanp_ws,minp_ws,sumave_p,xwd_ws,temp_00_09,tmax_ws,atmca,atmmg,atmso4,bdh_ave,kfct_ave,lprem_mean,prmh_ave,ucs_mean,cao_mean,mgo_mean,s_mean,p_mean,urban_2011_ws,urban_2011_5k,urban_2011_1k,ag_2011_ws,ag_2011_5k,ag_2011_1k,code_21_2011_ws,code_21_2011_5k,code_21_2011_1k,roaddens_ws,roaddens_5k,roaddens_1k,paved_int_ws,paved_int_5k,paved_int_1k,invdamdist,mines_5k,MaxW1_HALL,RefStatus
105PS1492,41.86231,-120.995,105,Modoc,Other,2557113,DM,1,798.228644,41.86225988,-120.9951605,1400,403,31679.59961,10.4101,459.23,7.47813,4378.12,81.3007,1585,282.254,0.040831,0.011626,0.161721,1.38919,0.199394,-0.283414,1.43273,137.175,6.66761,3.89389,0.020087,0.279202,7.8923e-4,0.02710552,0,0,0,0,0.38311412,1.37463698,0,1.1750167,1.24790739,11.37885329,10,0,0,0,0,-Inf,Non-reference
535CR0788,37.66785823,-120.4750645,535,Stanislaus,Other,2823718,CH,5,3998.2509,37.66784965,-120.4750616,51,3915,36370.2,11.11534409,1096.064197,6.49511942,2777.618436,72.38177839,2395,264.8633437,0.03868997,0.01102242,0.19378424,1.42247046,0.17620395,-1.42935287,8.49559312,138.9481352,4.34589329,2.55791938,0.0344577,0.16292894,0.46174441,0.49760586,3,0,1,9,0.01812042,0,0,0.68694432,1.89491353,2.88904043,797,37,13,0,3,-Inf,Non-reference
SMC01260,34.065024,-117.974734,405,Los Angeles,Other,NA,SC,4,264.2337,34.0650236,-117.97474,98,1600,36888.9,6.497,576.4207,0.0381,570.1109,36.345,2562,316.5651,0.05246667,0.0318,0.3826667,1.576033,0.2792333,1.502233,4.966233,24.98223,2.347633,1.263667,0.1321667,0.1304333,44.53167,93.34226,97,0,0,0,12.50234,5.077026,2.726281,7.30006,13.52439,16.7494,395,30,9,0,0,3.19,Non-reference
105PS0195,41.1889,-123.0749,105,Siskiyou,Forest,8258155,NC,1,113.5382931,41.1888599,-123.07484,814,1553,97808.10156,14.6714,1353.7395,8.5152,5259.531767,107.1829,1851,253.3333,0.0314,0.01046667,0.1278,1.5005,0.15563333,-0.92433333,3.3455,125.4366333,5.26566667,2.61273333,0.04426667,0.0538,0.00158558,0.00311964,0,0,0,0,2.3062226,2.33036968,2.86144578,0.32156834,0.1611721,0.8831029,5,2,1,0,0,-Inf,Reference
201LAG300,38.01275,-122.64689,201,Marin,Other,5329625,CH,2,3.69287401,38.0125689,-122.64677,107,320,105879,10.8333,1146,1.25,864.3222,68.3333,2074,284.75,0.0452,0.0498,0.2917,1.4954,0.2753,-0.8239,1.61066667,100.7371,2.94603333,8.7175,0.07413333,0.0136,2.48523622,2.48523622,5,0,0,0,37.69685039,37.67224409,64.12512219,6.43716113,6.43716113,11.81238102,9,9,3,0,0,-Inf,Non-reference
801CYC114,34.13646,-117.1897,801,San Bernardino,Urban,22555788,SC,8,56.6109,34.13532791,-117.1904716,445,1517,31116.59961,6.52906977,730.8837209,1.63852788,1283.747607,38.66860465,2650,308.2142857,0.06116072,0.03118495,0.3953193,1.57631566,0.15516862,-1.5521627,8.45949582,143.4411821,3.67484801,3.85714286,0.03195376,0.15623601,1.62318564,2.74099169,19,0,0,0,4.88704472,5.11241146,20.99076406,0.23968852,0.77383579,3.73592848,15,9,5,1,0,0.41,Non-reference
114BPCR1x,38.57897,-123.11828,114,Sonoma,Forest,0,NC,1,7.776,38.57866315,-123.1190793,107,583,142155.4063,12.56521739,1719.368421,2.91666667,1582.57034,79.17391304,2169,293.6666667,0.03423547,0.03918848,0.2214164,1.49074815,0.1984994,0,3.81200012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20527499,2.20527499,1.8785914,3,3,1,0,0,-Inf,Non-reference
SMC36636,33.85842,-118.10275,405,Los Angeles,Urban,22525157,SC,4,1254.24,33.8579714,-118.10264,15,3049,28965.6,6.8611,676.9167,0.4376,834.7457,39.1918,2332,306.5145,0.0525,0.0318,0.3827,1.5477,0.2197,-0.3993,5.1788,91.0804,4.6688,2.3128,0.1792,0.144,32.99166,95.84575,96,0,0,0,7.728997,3.628396,3.601896,5.052099,14.47392,11.84969,1046,12,3,0,0,-Inf,Non-reference
531PS0573,37.93,-121.2347,531,San Joaquin,Urban,2821662,CV,5,129.353,37.929986,-121.23469,8,137,33498.7,7.9976,369.0447,0.0812,366.379,48.5355,2429,346.2437,0.04803333,0.04133333,0.2873667,1.507333,0.2486,1.596333,0.8611333,16.2622,1.8547,0.9989667,0.1038,0.1237667,3.868018,19.79428,82,40,70,0,3.55699,5.877671,17.38535,0.6200659,1.526241,7.958438,31,9,7,0,0,-Inf,Non-reference
904CBSAM5,33.09086,-117.2447,904,San Diego,Other,948070419,SC,9,84.54061,33.090855,-117.24471,16,512,25739.1,6.0037,408.9375,0.6078,569.2311,36.9515,2202,300.7353,0.0784,0.0309,0.4136,1.6135,0.2666,-1.7948,3.4512,132.7998,4.8734,2.7576,0.139,0.1644,44.42102,46.82556,53,3,2,0,21.29692,18.25213,15.82361,7.270436,7.23709,7.240906,143,4,0,0,0,-Inf,Non-reference
207R00064,38.120548,-122.200089,206,Solano,Urban,1669841,CH,2,3.5271,38.11914577,-122.2025739,64,199,57221.2,9,582.4444444,0,645.5166473,53.7,2164,283.6,0.05046026,0.05707975,0.33017823,1.44165624,0.29968815,-0.92677532,0.52959998,67.90738524,14.72288387,5.5665758,0.07790638,0.12511339,37.07578464,37.07578464,49,0,0,0,0,0,0,3.78994464,3.78994464,6.26218125,2,2,2,0,0,-Inf,Non-reference
310SCP,35.76452,-121.31863,310,San Luis Obispo,Urban,8190321,CH,3,92.068106,35.7646848,-121.31894,8,945,52375.5,9.475,903.9952,0,294.7414,53.175,1819,252.7196,0.0426,0.0244,0.2324,1.4938,0.2297,-0.7218,2.6686,101.8302,3.3181,4.9791,0.0628,0.1128,0.00977737,0.03839214,1,0,0,0,0.23367913,0.52597228,3.77200335,0.08127972,0.28621571,0.22558686,1,1,1,0,1,0.88,Non-reference
525SRLxxx,40.97597,-122.43044,525,Shasta,Urban,7965515,NC,5,932.5809,40.97684276,-122.4306993,377,3784,179285,14.18282934,1673.228169,9.72905526,4728.812043,100.9443865,2161,292.5891266,0.03111571,0.00941163,0.12470956,1.34177491,0.15498807,-0.35775737,4.79062055,101.8265622,5.3441175,11.97533279,0.08248651,0.15678935,1.47924968,1.74015724,8,0,0,0,0.05568418,0,0,2.68161756,3.04669965,3.70612345,138,13,6,0,0,-Inf,Non-reference
SMC01716,34.2073,-118.49727,412,Los Angeles,Urban,22515806,SC,4,48.89682,34.2074702,-118.49728,234,626,39352,5.2727,466,0,463.3361,29.4091,2601,332.6964,0.0548,0.031,0.3787,1.5998000000000001,0.269,0.2216,4.1393,46.656,2.6583,1.6258,0.1491,0.1222,50.36337,97.3397,98,0,0,0,16.06903,2.523874,1.79558,8.240115,12.17525,10.926,83,8,2,0,0,5.17,Non-reference
901S11685,33.5099,-117.6348,901,Orange,Urban,20348919,SC,9,278.9294,33.5098517,-117.63485,38,1334,29052.4,6.0217,456.9697,0.1081,463.3498,33.9681,2400,313.4414,0.0599,0.0314,0.3916333,1.535667,0.2807333,-0.3258333,2.613933,63.31073,8.5147,3.431233,0.7169,0.1254333,5.341778,14.3135,64,1,1,0,6.80458,15.31381,22.48485,1.980984,2.778358,8.213649,149,32,12,0,4,-Inf,Non-reference
911NP9UCW,32.81829,-116.49235,911,San Diego,Other,0,SC,9,12.1644,32.8184104,-116.49262,1211,596,55090.9,9,754.1158,6.247033,3584.167,54.5632,2067,292.119,0.1123,0.1123,0.4506667,1.5291,0.2037,-1.967433,6.7049,135.1474,3.9946,2.5161,0.03263333,0.1481667,0.1553714,0.05680896,0,0,0,0,2.752294,2.126278,0.7311129,0.4759594,0.4596376,0.1308582,1,1,0,0,0,-Inf,Reference
