masterid,sampledate,XSLOPE,PCT_FN,PCT_HP
305PS0034,2008-06-17T07:00:00Z,0.5,21,0
305PS0057,2009-06-16T07:00:00Z,0.8,83,0
305PS0061,2009-06-17T07:00:00Z,0.3,35,1
307CMN,2009-09-03T07:00:00Z,0.8,0,0
307CMU,2009-06-16T07:00:00Z,0.4,4,0
307PS0028,2008-06-03T07:00:00Z,2.4,1,0
307PS0044,2009-06-08T07:00:00Z,0.3,3,0
308BGC,2009-09-02T07:00:00Z,1.2,1,0
308BSR,2007-04-11T07:00:00Z,1.8,3,0
308BSR,2009-08-05T07:00:00Z,0.3,40,0
308BSU,2009-08-05T07:00:00Z,0.9,29,0
308LIM,2009-04-27T07:00:00Z,0.1,13,0
308WLO,2007-04-11T07:00:00Z,2.9,1,0
308WLO,2009-07-21T07:00:00Z,NA,0,0
309ARCBRC,2008-08-25T07:00:00Z,0.8,5,0
309CLCBVC,2008-07-15T07:00:00Z,1.5,23,0
309DAV,2007-04-04T07:00:00Z,3.4,0,0
309PS0040,2008-06-03T07:00:00Z,0.1,34,0
309PS0043,2009-06-10T07:00:00Z,0.1,18,0
309PS0043,2009-07-08T07:00:00Z,0.1,23,0
309SARANF,2008-08-26T07:00:00Z,1.6,1,0
309SDCMCC,2008-07-14T07:00:00Z,0.9,50,0
310AGS,2009-05-15T07:00:00Z,0.3,26,0
310LPCBPC,2009-06-09T07:00:00Z,2.6,0,0
310SCP,2009-05-01T07:00:00Z,0.3,4,0
310SLC,2009-04-14T07:00:00Z,1.6,0,0
312BRE,2007-04-02T07:00:00Z,0.8,6,0
312BRE,2008-04-16T07:00:00Z,0.8,0,0
312CAV,2007-04-03T07:00:00Z,0.9,9,0
312CAV,2008-04-07T07:00:00Z,NA,1,0
312CUT,2007-04-02T07:00:00Z,0.1,50,0
312HUA,2007-04-02T07:00:00Z,0.5,10,0
312HUA,2008-04-04T07:00:00Z,NA,6,0
312SED113,2007-03-30T07:00:00Z,0.2,7,0
312SED113,2008-04-16T07:00:00Z,0.5,0,0
314SYP,2008-04-18T07:00:00Z,0.9,0,0
315CAP,2008-05-08T07:00:00Z,3.4,0,0
315GAI,2008-05-07T07:00:00Z,1.9,2,0
315GAV,2007-04-05T07:00:00Z,1.4,8,0
315GAV,2008-04-29T07:00:00Z,0.7,0,0
315JAL,2007-04-12T07:00:00Z,4.6,1,0
315JAL,2008-05-06T07:00:00Z,0.9,1,0
315MIU,2008-04-28T07:00:00Z,3.3,0,0
315RIN,2007-04-05T07:00:00Z,NA,7,0
315RIN,2008-04-08T07:00:00Z,2.1,2,0
401VCJVCL,2006-06-05T07:00:00Z,3.1,45,0
401VCJVCU,2006-06-05T07:00:00Z,1.4,36,1
401VCMADL,2006-06-07T07:00:00Z,1.9,11,0
401VCMADU,2006-06-07T07:00:00Z,1.8,0,1
401VCPJCL,2006-06-07T07:00:00Z,3,18,0
401VCPJCU,2006-06-07T07:00:00Z,1.2,11,0
401VCSAUL,2006-06-08T07:00:00Z,1.6,6,0
401VCSAUU,2006-06-08T07:00:00Z,1.4,9,5
402BA0031,2008-05-28T07:00:00Z,0.7,0,0
402BA0079,2008-05-28T07:00:00Z,0.6,0,0
402BA0095,2008-05-29T07:00:00Z,3.9,0,0
402BA0143,2008-05-21T07:00:00Z,0.4,0,0
402BA0287,2008-06-09T07:00:00Z,2.7,0,0
402BA0335,2008-05-27T07:00:00Z,0.1,0,0
402M00002,2015-08-13T07:00:00Z,0.1,35,0
402M00005,2015-06-11T07:00:00Z,4.8,3,0
402M00009,2015-06-29T07:00:00Z,2,2,0
402M00015,2016-06-06T07:00:00Z,1,6,0
402M00029,2016-06-06T07:00:00Z,0.8,24,0
402M00030,2017-04-19T07:00:00Z,3,1,0
402M00042,2017-04-19T07:00:00Z,3.1,6,0
402M00043,2016-06-22T07:00:00Z,NA,29,0
402M00046,2017-04-26T07:00:00Z,2.4,0,0
402M00058,2019-06-10T07:00:00Z,1,12,0
402M00066,2018-07-23T07:00:00Z,1.1,27,0
402M00082,2018-07-23T07:00:00Z,NA,34,0
402M00110,2019-06-10T07:00:00Z,0.8,14,0
402M00114,2018-06-14T07:00:00Z,1.6,0,0
402M00127,2019-06-10T07:00:00Z,1.5,2,1
402PS0048,2008-05-21T07:00:00Z,5.1,2,0
402S09503,2012-06-04T07:00:00Z,3,0,0
403BA0027,2008-05-20T07:00:00Z,0.8,0,0
403BA0027,2015-07-13T07:00:00Z,1,4,0
403BA0027,2016-06-28T07:00:00Z,NA,4,0
403BA0027,2017-06-13T07:00:00Z,1.1,0,0
