Threshold_Type,Population,Index,High,Low,Medium
Best observed,Ambiguous,CSCI,0.5320093388649022,0.3670014242807004,0.4462463534539622
Best observed,CC_CVF,CSCI,0.5320093388649022,0.3670014242807004,0.4462463534539622
Best observed,CVFloor,ASCI_D,1.130234217429643,0.9156066069332374,1.0170876363363304
Best observed,CVFloor,ASCI_H,1.0489608258528793,0.7998599676628084,0.941511959199834
Best observed,CVFloor,CSCI,0.8452369,0.5166960266666667,0.67178382
Best observed,Hard bottom,ASCI_D,1.0516735138048565,0.7365940868584236,0.8787997038177625
Best observed,Hard bottom,ASCI_H,1.0167989293328334,0.7364031686453606,0.8654668551798163
Best observed,Hard bottom,CSCI,0.7374254324,0.5521626319999998,0.668358924
Best observed,Hard bottom_CVF,ASCI_D,1.0544307436949827,0.9592816021150271,1.0290075219657668
Best observed,Hard bottom_CVF,ASCI_H,0.949531480107458,0.8002559308097694,0.9278020680851665
Best observed,Hard bottom_CVF,CSCI,0.5661258144,0.394388282,0.48754784399999995
Best observed,Soft bottom-0 hard sides,ASCI_D,1.0083725744358996,0.684187228290971,0.769971818910998
Best observed,Soft bottom-0 hard sides,ASCI_H,0.9427334958920945,0.63927561351799,0.789372600935878
Best observed,Soft bottom-0 hard sides,CSCI,0.9913962700000005,0.6562700288809524,0.7816985365
Best observed,Soft bottom-0 hard sides_CVF,ASCI_D,0.8387966327751196,0.798063579671864,0.82615534043273
Best observed,Soft bottom-0 hard sides_CVF,ASCI_H,0.7369634491840165,0.7231215375247453,0.7326676834966565
Best observed,Soft bottom-0 hard sides_CVF,CSCI,0.5057622592,0.3838027359999999,0.46791275200000004
Best observed,Soft bottom-1 hard side,ASCI_D,1.0067387959576741,0.6836831499974377,0.8463853860749408
Best observed,Soft bottom-1 hard side,ASCI_H,0.9715901848333544,0.66877233639127,0.8632322098648044
Best observed,Soft bottom-1 hard side,CSCI,1.0950556176,0.813631497,0.9977331733999999
Best observed,Soft bottom-2 hard sides,ASCI_D,0.933889057352686,0.6441384066749263,0.7653333610941973
Best observed,Soft bottom-2 hard sides,ASCI_H,0.8840876696099688,0.604387088929466,0.7564934372428969
Best observed,Soft bottom-2 hard sides,CSCI,0.956508948,0.6360895299999999,0.7525666440000001
Reference,Intermittent_NorCal,ASCI_D,0.9738918909399998,0.804308095,0.9059791594166666
Reference,Intermittent_NorCal,ASCI_H,0.94509402795,0.74931180377,0.88832718455
Reference,Intermittent_NorCal,CSCI,0.6878688785714285,0.45970028732,0.5431139428666666
Reference,Intermittent_SoCal,ASCI_D,0.9405462407999999,0.6065390149200001,0.8061287326666667
Reference,Intermittent_SoCal,ASCI_H,0.9242900113999999,0.5941070542,0.8539524711
Reference,Intermittent_SoCal,CSCI,0.89260027918,0.71495446844,0.8530458136615384
Reference,Reference,ASCI_D,0.6844053026000001,0.30517482248,0.5001939870000001
Reference,Reference,ASCI_H,0.691931349,0.3031972349,0.494904283
Reference,Reference,CSCI,0.946663597,0.6106360375000001,0.7957844795
