"Index","Ref30","Ref10","Ref01","BCG2","BCG3","BCG4","BCG5"
"CSCI",0.92,0.79,0.63,1.025,0.825,0.625,0.325
"ASCI_D",0.94,0.86,0.75,1.31,0.95,0.54,0
"ASCI_H",0.94,0.86,0.75,1.23,0.97,0.67,0.3
