"Stratum","BiostimVar","BIgoal","BIgoal2","Prob","Prob2","Response","BSPretty","DevSet","Est","l95","u95"
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_H","Total N","Cal",0.027027027027027,-Inf,0.0870870870870871
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_H","Total N","Val",0.027027027027027,-Inf,0.0870870870870871
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_H","Total N","Cal",0.057057057057057,-Inf,0.111111111111111
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_H","Total N","Val",0.057057057057057,-Inf,0.111111111111111
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_H","Total N","Cal",0.114114114114114,0.048048048048048,0.165165165165165
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_H","Total N","Val",0.114114114114114,0.048048048048048,0.165165165165165
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_H","Total N","Cal",0.294294294294294,0.24024024024024,0.363363363363363
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_H","Total N","Val",0.294294294294294,0.24024024024024,0.363363363363363
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_H","Total P","Cal",0.0045045045045045,-Inf,0.018018018018018
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p95","95% rel prob","ASCI_H","Total P","Val",0.0045045045045045,-Inf,0.018018018018018
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_H","Total P","Cal",0.0105105105105105,-Inf,0.024024024024024
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p90","90% rel prob","ASCI_H","Total P","Val",0.0105105105105105,-Inf,0.024024024024024
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_H","Total P","Cal",0.024024024024024,0.00750750750750751,0.036036036036036
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p80","80% rel prob","ASCI_H","Total P","Val",0.024024024024024,0.00750750750750751,0.036036036036036
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_H","Total P","Cal",0.0645645645645646,0.051051051051051,0.0870870870870871
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p50","50% rel prob","ASCI_H","Total P","Val",0.0645645645645646,0.051051051051051,0.0870870870870871
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p95","95% rel prob","ASCI_H","Chl-a","Cal",15.3153153153153,-Inf,56.4564564564565
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p95","95% rel prob","ASCI_H","Chl-a","Val",15.3153153153153,-Inf,56.4564564564565
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p90","90% rel prob","ASCI_H","Chl-a","Cal",30.9309309309309,-Inf,79.8798798798799
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p90","90% rel prob","ASCI_H","Chl-a","Val",30.9309309309309,-Inf,79.8798798798799
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p80","80% rel prob","ASCI_H","Chl-a","Cal",64.2642642642643,24.6246246246246,151.351351351351
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p80","80% rel prob","ASCI_H","Chl-a","Val",64.2642642642643,24.6246246246246,151.351351351351
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p50","50% rel prob","ASCI_H","Chl-a","Cal",185.285285285285,117.717717717718,Inf
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p50","50% rel prob","ASCI_H","Chl-a","Val",185.285285285285,117.717717717718,Inf
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p95","95% rel prob","ASCI_H","AFDM","Cal",0.525525525525526,-Inf,2.02702702702703
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p95","95% rel prob","ASCI_H","AFDM","Val",0.525525525525526,-Inf,2.02702702702703
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p90","90% rel prob","ASCI_H","AFDM","Cal",1.12612612612613,-Inf,2.55255255255255
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p90","90% rel prob","ASCI_H","AFDM","Val",1.12612612612613,-Inf,2.55255255255255
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p80","80% rel prob","ASCI_H","AFDM","Cal",2.4024024024024,0.750750750750751,4.05405405405405
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p80","80% rel prob","ASCI_H","AFDM","Val",2.4024024024024,0.750750750750751,4.05405405405405
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p50","50% rel prob","ASCI_H","AFDM","Cal",6.98198198198198,5.03003003003003,11.7867867867868
"Arid","Ash_Free_Dry_Mass_mgPercm2","BCG3","BCG3","p50","50% rel prob","ASCI_H","AFDM","Val",6.98198198198198,5.03003003003003,11.7867867867868
"Arid","PCT_MAP","BCG3","BCG3","p95","95% rel prob","ASCI_H","% cover","Cal",6.00600600600601,-Inf,21.6216216216216
"Arid","PCT_MAP","BCG3","BCG3","p95","95% rel prob","ASCI_H","% cover","Val",6.00600600600601,-Inf,21.6216216216216
"Arid","PCT_MAP","BCG3","BCG3","p90","90% rel prob","ASCI_H","% cover","Cal",12.3123123123123,-Inf,29.1291291291291
"Arid","PCT_MAP","BCG3","BCG3","p90","90% rel prob","ASCI_H","% cover","Val",12.3123123123123,-Inf,29.1291291291291
"Arid","PCT_MAP","BCG3","BCG3","p80","80% rel prob","ASCI_H","% cover","Cal",25.4254254254254,7.50750750750751,53.8538538538539
"Arid","PCT_MAP","BCG3","BCG3","p80","80% rel prob","ASCI_H","% cover","Val",25.4254254254254,7.50750750750751,53.8538538538539
"Arid","PCT_MAP","BCG3","BCG3","p50","50% rel prob","ASCI_H","% cover","Cal",72.5725725725726,47.6476476476477,Inf
"Arid","PCT_MAP","BCG3","BCG3","p50","50% rel prob","ASCI_H","% cover","Val",72.5725725725726,47.6476476476477,Inf
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p95","95% rel prob","CSCI","Total N","Cal",0.276276276276276,-Inf,0.582582582582583
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p95","95% rel prob","CSCI","Total N","Val",0.276276276276276,-Inf,0.582582582582583
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p90","90% rel prob","CSCI","Total N","Cal",0.546546546546547,0.219219219219219,0.858858858858859
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p90","90% rel prob","CSCI","Total N","Val",0.546546546546547,0.219219219219219,0.858858858858859
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p80","80% rel prob","CSCI","Total N","Cal",1.06606606606607,0.756756756756757,1.45645645645646
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p80","80% rel prob","CSCI","Total N","Val",1.06606606606607,0.756756756756757,1.45645645645646
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p50","50% rel prob","CSCI","Total N","Cal",2.66366366366366,2.12912912912913,Inf
"Arid","Nitrogen_Total_mgPerL","BCG3","BCG3","p50","50% rel prob","CSCI","Total N","Val",2.66366366366366,2.12912912912913,Inf
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p95","95% rel prob","CSCI","Total P","Cal",0.0285285285285285,-Inf,0.0615615615615616
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p95","95% rel prob","CSCI","Total P","Val",0.0285285285285285,-Inf,0.0615615615615616
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p90","90% rel prob","CSCI","Total P","Cal",0.057057057057057,0.0225225225225225,0.0900900900900901
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p90","90% rel prob","CSCI","Total P","Val",0.057057057057057,0.0225225225225225,0.0900900900900901
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p80","80% rel prob","CSCI","Total P","Cal",0.112612612612613,0.0795795795795796,0.154654654654655
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p80","80% rel prob","CSCI","Total P","Val",0.112612612612613,0.0795795795795796,0.154654654654655
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p50","50% rel prob","CSCI","Total P","Cal",0.280780780780781,0.222222222222222,0.385885885885886
"Arid","Phosphorus_as_P_mgPerL","BCG3","BCG3","p50","50% rel prob","CSCI","Total P","Val",0.280780780780781,0.222222222222222,0.385885885885886
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p95","95% rel prob","CSCI","Chl-a","Cal",11.1111111111111,-Inf,23.1231231231231
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p95","95% rel prob","CSCI","Chl-a","Val",11.1111111111111,-Inf,23.1231231231231
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p90","90% rel prob","CSCI","Chl-a","Cal",21.6216216216216,8.10810810810811,33.6336336336336
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p90","90% rel prob","CSCI","Chl-a","Val",21.6216216216216,8.10810810810811,33.6336336336336
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p80","80% rel prob","CSCI","Chl-a","Cal",42.6426426426426,30.6306306306306,56.7567567567568
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p80","80% rel prob","CSCI","Chl-a","Val",42.6426426426426,30.6306306306306,56.7567567567568
"Arid","Chlorophyll_a_mgPerm2","BCG3","BCG3","p50","50% rel prob","CSCI","Chl-a","Cal",106.306306306306,85.8858858858859,141.441441441441
